OGS	sub_rate	Avg_record	align_len	No_seq	recovery	meanGC
EOG7TV1Z7	0.292870905588	620.9	1038	40	medium	37.9112390892269
EOG7TXX57	0.339890710383	572.795454545	915	44	high	39.871941654362
EOG7TXX5G	0.364553314121	939.20754717	1388	53	high	35.3809929522526
EOG7TXX5R	0.28418230563	776.547169811	1119	53	high	38.2400712274539
EOG7TXX70	0.32	172.057692308	225	52	high	40.8394333123792
EOG7V1SDK	0.243197278912	319.96875	588	32	medium	39.3466213206271
EOG7VBD4D	0.203098106713	367	581	53	high	49.9863645512849
EOG7VBD51	0.198170731707	722.551020408	984	49	high	45.9164665948157
EOG7VBD5H	0.197026022305	160.64	538	50	high	43.4302004644238
EOG7VF8CZ	0.280467445743	333.588235294	599	51	high	43.7633758144101
EOG7VN0TR	0.297385620915	357.888888889	918	27	medium	41.9109324544538
EOG7VN0W5	0.295281582953	187.557692308	657	52	high	41.0196839160909
EOG7VQW2J	0.266953713671	505.018867925	929	53	high	38.3964724582651
EOG7VQW3T	0.324090121317	81.3396226415	577	53	high	40.0783946718291
EOG7VXMJW	0.208768267223	342.395833333	479	48	high	42.0232464934723
EOG7W4C2V	0.19298245614	572.5	798	50	high	40.912980838425
EOG7W4C2Z	0.35393258427	138.905660377	356	53	high	40.8418374063985
EOG7W778R	0.250391236307	448.215686275	639	51	high	44.1252373725398
EOG7W7797	0.239898989899	181.725	396	40	medium	34.4927134131386
EOG7WDZRW	0.319672131148	412.276595745	610	47	high	39.1216680047133
EOG7WQKG3	0.282258064516	477.318181818	620	44	high	47.5536314623184
EOG7WQKH2	0.278065630397	385.666666667	579	45	high	39.0356079832812
EOG7WQKH3	0.203571428571	326.653846154	560	52	high	39.8383786019531
EOG7WTFPV	0.164642375169	473.770833333	741	48	high	37.732910444365
EOG7WX9XW	0.260787992495	923.3	1599	40	medium	43.6103575270051
EOG7WX9Z2	0.255255255255	734.725490196	999	51	high	42.4065809513261
EOG7WX9Z5	0.280662983425	559.188679245	905	53	high	43.5425993925781
EOG7WX9Z9	0.236	513.078431373	750	51	high	39.1965015173379
EOG7X42F3	0.359342915811	623.264150943	974	53	high	39.343249479956
EOG7X6XP4	0.215053763441	317.88	558	25	medium	40.1838885142253
EOG7X6XPZ	0.424511545293	358.55	563	40	medium	38.2179950430393
EOG7X9SXM	0.325242718447	334.245283019	618	53	high	43.921439444007
EOG7X9SXX	0.216894977169	202.173913043	438	23	medium	37.3374707653198
EOG7XDP4V	0.332233223322	586.054054054	909	37	medium	37.8047700222399
EOG7XDP50	0.382926829268	411.641025641	820	39	medium	36.3101133197577
EOG7XDP61	0.296066252588	287.326086957	483	46	high	42.8637419150997
EOG7XHJF9	0.343680709534	72	451	52	high	42.7390792535254
EOG7XMDMX	0.211491442543	502.283018868	818	53	high	40.5240848948352
EOG7XMDN1	0.241712707182	409.339622642	724	53	high	37.0473710535898
EOG7XT54C	0.318604651163	210.509433962	430	53	high	48.2050751758693
EOG7XX1C1	0.243386243386	320.7	567	50	high	42.1792388652187
EOG7XX1C9	0.269230769231	351.320754717	572	53	high	42.0457749742712
EOG7Z3RT1	0.191869918699	390.446808511	615	47	high	40.4613290223613
EOG7Z3RVJ	0.277213352685	454.461538462	689	52	high	36.5125778519825
EOG7Z6N2T	0.263504611331	330.48	759	50	high	38.0254165241614
EOG7ZDCHW	0.266441821248	350.865384615	593	52	high	39.4363414604389
EOG7ZDCJ7	0.23192555476	741.16	1397	50	high	37.2582131210631
EOG7ZDCJ8	0.213627992634	281.571428571	543	14	low	37.3511883871219
EOG7ZDCJG	0.237623762376	700.034482759	909	29	medium	34.660920314478
EOG7ZH7RR	0.258875739645	443.239130435	676	46	high	36.3358870464712
EOG7ZH7S7	0.246543778802	332.346153846	868	52	high	42.8029997198166
EOG7ZH7T2	0.254985754986	363.75	702	52	high	40.2467429763552
EOG7ZM40R	0.333333333333	418.255319149	606	47	high	42.7994153359574
EOG7ZM419	0.286721504113	329.566037736	851	53	high	41.807549533927
EOG7ZQ07K	0.430921052632	796.745098039	1520	51	high	43.1444946738455
EOG7ZSVH0	0.274478330658	484.609756098	623	41	high	33.5512607688582
EOG7ZWQQK	0.242331288344	469.459459459	652	37	medium	37.7839408125368
EOG7ZWQS3	0.330749354005	233.727272727	387	11	low	35.3755129734289
